站点编号,站点名称,平面坐标系x,平面坐标系y,起始时间,结束时间,降雨量
F1070,汽车北站,431536.338,2889690.369,2017/11/2 3:50:00,2017/11/2 4:00:00,0
F1070,汽车北站,431537.338,2889691.369,2017/11/2 4:00:00,2017/11/2 4:10:00,0
F1070,汽车北站,431538.338,2889692.369,2017/11/2 4:10:00,2017/11/2 4:20:00,0
F1070,汽车北站,431539.338,2889693.369,2017/11/2 4:20:00,2017/11/2 4:30:00,0
F1070,汽车北站,431540.338,2889694.369,2017/11/2 4:30:00,2017/11/2 4:40:00,0
F1070,汽车北站,431541.338,2889695.369,2017/11/2 4:40:00,2017/11/2 4:50:00,0
F1070,汽车北站,431542.338,2889696.369,2017/11/2 4:50:00,2017/11/2 5:00:00,0
F1070,汽车北站,431543.338,2889697.369,2017/11/2 5:00:00,2017/11/2 5:10:00,0
F1070,汽车北站,431544.338,2889698.369,2017/11/2 5:10:00,2017/11/2 5:20:00,0
F1070,汽车北站,431545.338,2889699.369,2017/11/2 5:20:00,2017/11/2 5:30:00,0
F1070,汽车北站,431546.338,2889700.369,2017/11/2 5:30:00,2017/11/2 5:40:00,0
F1070,汽车北站,431547.338,2889701.369,2017/11/2 5:40:00,2017/11/2 5:50:00,0
F1070,汽车北站,431548.338,2889702.369,2017/11/2 5:50:00,2017/11/2 6:00:00,0
F1070,汽车北站,431549.338,2889703.369,2017/11/2 6:00:00,2017/11/2 6:10:00,0
F1070,汽车北站,431550.338,2889704.369,2017/11/2 6:10:00,2017/11/2 6:20:00,0
F1070,汽车北站,431551.338,2889705.369,2017/11/2 6:20:00,2017/11/2 6:30:00,0
F1070,汽车北站,431552.338,2889706.369,2017/11/2 6:30:00,2017/11/2 6:40:00,0
F1070,汽车北站,431553.338,2889707.369,2017/11/2 6:40:00,2017/11/2 6:50:00,0
F1070,汽车北站,431554.338,2889708.369,2017/11/2 6:50:00,2017/11/2 7:00:00,0
F1070,汽车北站,431555.338,2889709.369,2017/11/2 7:00:00,2017/11/2 7:10:00,0
F1070,汽车北站,431556.338,2889710.369,2017/11/2 7:10:00,2017/11/2 7:20:00,0
F1070,汽车北站,431557.338,2889711.369,2017/11/2 7:20:00,2017/11/2 7:30:00,0
F1070,汽车北站,431558.338,2889712.369,2017/11/2 7:30:00,2017/11/2 7:40:00,0
F1070,汽车北站,431559.338,2889713.369,2017/11/2 7:40:00,2017/11/2 7:50:00,0
F1070,汽车北站,431560.338,2889714.369,2017/11/2 7:50:00,2017/11/2 8:00:00,0
F1070,汽车北站,431561.338,2889715.369,2017/11/2 8:00:00,2017/11/2 8:10:00,0
F1070,汽车北站,431562.338,2889716.369,2017/11/2 8:10:00,2017/11/2 8:20:00,0
F1070,汽车北站,431563.338,2889717.369,2017/11/2 8:20:00,2017/11/2 8:30:00,0
F1070,汽车北站,431564.338,2889718.369,2017/11/2 8:30:00,2017/11/2 8:40:00,0
F1070,汽车北站,431565.338,2889719.369,2017/11/2 8:40:00,2017/11/2 8:50:00,0
F1070,汽车北站,431566.338,2889720.369,2017/11/2 8:50:00,2017/11/2 9:00:00,0
F1070,汽车北站,431567.338,2889721.369,2017/11/2 9:00:00,2017/11/2 9:10:00,0
F1070,汽车北站,431568.338,2889722.369,2017/11/2 9:10:00,2017/11/2 9:20:00,0
F1070,汽车北站,431569.338,2889723.369,2017/11/2 9:20:00,2017/11/2 9:30:00,0
F1070,汽车北站,431570.338,2889724.369,2017/11/2 9:30:00,2017/11/2 9:40:00,0
F1070,汽车北站,431571.338,2889725.369,2017/11/2 9:40:00,2017/11/2 9:50:00,0
F1070,汽车北站,431572.338,2889726.369,2017/11/2 9:50:00,2017/11/2 10:00:00,0
F1070,汽车北站,431573.338,2889727.369,2017/11/2 10:00:00,2017/11/2 10:10:00,0
F1070,汽车北站,431574.338,2889728.369,2017/11/2 10:10:00,2017/11/2 10:20:00,0
F1070,汽车北站,431575.338,2889729.369,2017/11/2 10:20:00,2017/11/2 10:30:00,0
F1070,汽车北站,431576.338,2889730.369,2017/11/2 10:30:00,2017/11/2 10:40:00,0
F1070,汽车北站,431577.338,2889731.369,2017/11/2 10:40:00,2017/11/2 10:50:00,0
F1070,汽车北站,431578.338,2889732.369,2017/11/2 10:50:00,2017/11/2 11:00:00,0
F1070,汽车北站,431579.338,2889733.369,2017/11/2 11:00:00,2017/11/2 11:10:00,0
F1070,汽车北站,431580.338,2889734.369,2017/11/2 11:10:00,2017/11/2 11:20:00,0
F1070,汽车北站,431581.338,2889735.369,2017/11/2 11:20:00,2017/11/2 11:30:00,0
F1070,汽车北站,431582.338,2889736.369,2017/11/2 11:30:00,2017/11/2 11:40:00,0
F1070,汽车北站,431583.338,2889737.369,2017/11/2 11:40:00,2017/11/2 11:50:00,0
F1070,汽车北站,431584.338,2889738.369,2017/11/2 11:50:00,2017/11/2 12:00:00,0
F1070,汽车北站,431585.338,2889739.369,2017/11/2 12:00:00,2017/11/2 12:10:00,0
F1070,汽车北站,431586.338,2889740.369,2017/11/2 12:10:00,2017/11/2 12:20:00,0
F1070,汽车北站,431587.338,2889741.369,2017/11/2 12:20:00,2017/11/2 12:30:00,0
F1070,汽车北站,431588.338,2889742.369,2017/11/2 12:30:00,2017/11/2 12:40:00,0
F1070,汽车北站,431589.338,2889743.369,2017/11/2 12:40:00,2017/11/2 12:50:00,0
F1070,汽车北站,431590.338,2889744.369,2017/11/2 12:50:00,2017/11/2 13:00:00,0
F1070,汽车北站,431591.338,2889745.369,2017/11/2 13:00:00,2017/11/2 13:10:00,0
F1070,汽车北站,431592.338,2889746.369,2017/11/2 13:10:00,2017/11/2 13:20:00,0
F1070,汽车北站,431593.338,2889747.369,2017/11/2 13:20:00,2017/11/2 13:30:00,0
F1070,汽车北站,431594.338,2889748.369,2017/11/2 13:30:00,2017/11/2 13:40:00,0
F1070,汽车北站,431595.338,2889749.369,2017/11/2 13:40:00,2017/11/2 13:50:00,0
F1070,汽车北站,431596.338,2889750.369,2017/11/2 13:50:00,2017/11/2 14:00:00,0
F1070,汽车北站,431597.338,2889751.369,2017/11/2 14:00:00,2017/11/2 14:10:00,0
F1070,汽车北站,431598.338,2889752.369,2017/11/2 14:10:00,2017/11/2 14:20:00,0
F1070,汽车北站,431599.338,2889753.369,2017/11/2 14:20:00,2017/11/2 14:30:00,0
F1070,汽车北站,431600.338,2889754.369,2017/11/2 14:30:00,2017/11/2 14:40:00,0
F1070,汽车北站,431601.338,2889755.369,2017/11/2 14:40:00,2017/11/2 14:50:00,0
F1070,汽车北站,431602.338,2889756.369,2017/11/2 14:50:00,2017/11/2 15:00:00,0
F1070,汽车北站,431603.338,2889757.369,2017/11/2 15:00:00,2017/11/2 15:10:00,0
F1070,汽车北站,431604.338,2889758.369,2017/11/2 15:10:00,2017/11/2 15:20:00,0
F1070,汽车北站,431605.338,2889759.369,2017/11/2 15:20:00,2017/11/2 15:30:00,0
